DrugBank_ID,Name,SMILES,CAS_Number
DB00001,Lepirudin,,138068-37-8
DB00001,Lepirudin,,
DB01022,Phylloquinone,,
DB01373,Calcium,,
DB00002,Cetuximab,,205923-56-4
DB00002,Cetuximab,,
DB00003,Dornase alfa,,143831-71-4
DB00004,Denileukin diftitox,,173146-27-5
DB00005,Etanercept,,185243-69-0
DB00006,Bivalirudin,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(O)=O)NC(=O)CNC(=O)[C@H](CC(N)=O)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](N)CC1=CC=CC=C1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(=O)N[C@@H](CC(C)C)C(O)=O,128270-60-0
DB00006,Bivalirudin,,
DB01022,Phylloquinone,,
DB01373,Calcium,,
DB00007,Leuprolide,CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@@H]1CCC(=O)N1,53714-56-0
DB00008,Peginterferon alfa-2a,,198153-51-4
DB00009,Alteplase,,105857-23-6
DB00009,Alteplase,,
DB01022,Phylloquinone,,
DB01373,Calcium,,
DB00010,Sermorelin,,86168-78-7
DB00011,Interferon alfa-n1,,74899-72-2
DB00012,Darbepoetin alfa,,209810-58-2
DB00013,Urokinase,,9039-53-6
DB00013,Urokinase,,
DB01022,Phylloquinone,,
DB01373,Calcium,,
DB00014,Goserelin,CC(C)C[C@H](NC(=O)[C@@H](COC(C)(C)C)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=CC=CC=C12)NC(=O)[C@H](CC1=CN=CN1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)NNC(N)=O,65807-02-5
DB00015,Reteplase,,133652-38-7
DB00015,Reteplase,,
DB01022,Phylloquinone,,
DB01373,Calcium,,
DB00016,Erythropoietin,,11096-26-7
DB00017,Salmon calcitonin,,47931-85-1
DB00018,Interferon alfa-n3,,
DB00019,Pegfilgrastim,,208265-92-3
DB00020,Sargramostim,,123774-72-1
DB00022,Peginterferon alfa-2b,,215647-85-1
DB00023,Asparaginase Escherichia coli,,9015-68-3
DB00024,Thyrotropin alfa,,194100-83-9
DB00025,"Antihemophilic factor, human recombinant",,139076-62-3
DB00026,Anakinra,,143090-92-0
DB00027,Gramicidin D,CC(C)C[C@@H](NC(=O)CNC(=O)[C@@H](NC=O)C(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@H](C(C)C)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)NCCO,1405-97-6
DB00028,Human immunoglobulin G,,308067-58-5
DB00029,Anistreplase,,81669-57-0
DB00029,Anistreplase,,
DB01022,Phylloquinone,,
DB01373,Calcium,,
DB00030,Insulin human,,11061-68-0
DB00031,Tenecteplase,,191588-94-0
DB00031,Tenecteplase,,
DB01022,Phylloquinone,,
DB01373,Calcium,,
DB00032,Menotropins,,9002-68-0
DB00033,Interferon gamma-1b,,98059-61-1
DB00034,Interferon alfa-2a,,76543-88-9
